"timestamp","open","high","low","close","adjusted close","volume","dividend amount"
"2015-09-30","4304.8501","4309.4502","3851.6499","4162.3501","4011.6809","8612268","0.0000"
"2015-08-31","4090.1001","4337.9502","3932.0000","4302.6499","4146.9019","8081901","0.0000"
"2015-07-31","3548.0000","4093.5000","3535.3999","4076.1001","3928.5527","7868566","0.0000"
"2015-06-30","3528.0000","3572.0000","3266.5500","3559.4500","3412.2202","5405692","0.0000"
"2015-05-29","3330.0000","3692.6499","3250.0500","3535.2500","3389.0208","7175340","0.0000"
"2015-04-30","3541.0000","3807.8000","3276.5000","3310.2500","3173.3279","6215463","0.0000"
"2015-03-31","3363.0000","3575.0000","3300.1499","3488.7500","3344.4441","6349966","0.0000"
"2015-02-28","3179.7500","3424.9500","0.0000","0.0000","0.0000","6034253","0.0000"
"2015-01-30","3230.0000","3389.7500","3010.0000","3233.2500","3099.5127","8421771","0.0000"
"2014-12-31","3602.0000","3666.2500","3057.0000","3246.2000","3111.9268","7533342","0.0000"
"2014-11-28","3189.8999","3639.0000","3168.7000","3606.2500","3457.0842","5346124","0.0000"
"2014-10-31","3254.0000","3277.0000","2867.0000","3168.3000","3037.2490","5911868","0.0000"
"2014-09-30","2951.0000","3356.5000","2941.2000","3229.6001","3096.0134","6938968","0.0000"
"2014-08-28","2775.0000","2975.0000","2711.1001","2947.8999","2825.9656","6288749","0.0000"
"2014-07-31","2626.0000","2849.9500","2599.6499","2808.7000","2692.5234","7465526","0.0000"
"2014-06-30","2465.0000","2630.2000","2291.1499","2624.0500","2498.4285","9302102","0.0000"
"2014-05-30","2692.1001","2755.0000","2246.5000","2460.6499","2342.8511","15198317","0.0000"
"2014-04-30","2581.0000","2781.7500","2520.0500","2706.1499","2576.5981","7367523","0.0000"
"2014-03-31","2878.0000","2878.0000","0.0000","2563.8999","2441.1580","8671245","0.0000"
"2014-02-28","2605.0000","2939.3999","2516.5500","2895.5000","2756.8835","6713826","0.0000"
"2014-01-31","2545.0000","2691.9500","2460.2000","2609.5500","2484.6226","5888449","0.0000"
"2013-12-31","2499.0000","2557.5500","2391.1499","2534.6001","2413.2607","4481172","0.0000"
"2013-11-29","2456.0000","2500.0000","2377.1001","2484.8000","2365.8452","4581214","0.0000"
"2013-10-31","2372.9500","2545.1499","2354.0000","2456.3999","2338.8044","6752780","0.0000"
"2013-09-30","2271.6001","2474.3999","2194.2000","2381.1499","2267.1570","5434164","0.0000"
"2013-08-30","2300.0000","2367.0000","2027.0000","2292.8999","2183.1313","6892056","0.0000"
"2013-07-31","2217.8999","2404.8000","2135.8000","2281.2000","2171.9917","8992642","0.0000"
"2013-06-28","2093.1001","2233.8999","2034.2000","2218.8501","2098.8242","6279834","0.0000"
"2013-05-31","2023.1000","2152.0000","1970.0000","2092.0000","1978.8356","9317904","0.0000"
"2013-04-30","1779.0000","2038.6500","1768.2500","2028.2000","1918.4867","7550136","0.0000"
"2013-03-28","1752.0000","1834.0000","1720.4000","1766.5000","1670.9431","4560991","0.0000"
"2013-02-28","1922.0000","1961.0000","1725.1000","1755.4500","1660.4907","8459315","0.0000"
"2013-01-31","1831.6000","1970.0000","1821.1000","1915.9000","1812.2616","9403058","0.0000"
"2012-12-31","1822.2500","1915.5000","1811.0000","1829.7500","1730.7719","6073882","0.0000"
"2012-11-30","1767.0000","1830.0000","0.0000","1819.4000","1720.9817","5993543","0.0000"
"2012-10-31","1650.0000","1782.0000","1527.5500","1756.5000","1661.4843","6434397","0.0000"
"2012-09-28","1675.0500","1815.0000","0.0000","1645.6500","1556.6306","9072679","0.0000"
"2012-08-31","1615.0000","1708.0000","1615.0000","1677.6000","1586.8522","4550446","0.0000"
"2012-07-31","1636.0000","1719.8000","1590.5000","1614.9500","1527.5912","8507385","0.0000"
"2012-06-29","1687.9000","1687.9000","1526.4000","1648.1500","1558.9954","7748008","0.0000"
"2012-05-31","1764.2500","1780.7500","1631.2500","1685.6000","1580.7980","5538092","0.0000"
"2012-04-30","1774.0000","1815.8500","1685.8500","1762.9500","1653.3386","5268189","0.0000"
"2012-03-30","1631.0000","1779.0000","0.0000","1764.7500","1655.0267","5837858","0.0000"
"2012-02-29","1694.0000","1698.8000","1592.0000","1642.7000","1540.5649","9384189","0.0000"
"2012-01-31","1584.9500","1705.0000","0.0000","1689.7500","1584.6897","6338037","0.0000"
"2011-12-30","1598.0000","1639.0000","1531.3500","1577.9500","1479.8409","7439603","0.0000"
"2011-11-30","1645.1000","1657.4500","1500.0000","1577.5000","1479.4189","6605582","0.0000"
"2011-10-31","1475.4000","1684.7000","1440.8000","1670.7000","1566.8243","5324870","0.0000"
"2011-09-30","1540.8500","1556.7000","1435.2500","1483.1500","1390.9351","6366574","0.0000"
"2011-08-30","1585.0000","1614.0000","1386.1000","1496.0000","1402.9861","8296374","0.0000"
"2011-07-29","1556.9000","1622.9500","1511.1000","1586.0500","1487.4373","8912297","0.0000"
