"timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"2018-05-24","454.9000","469.7000","451.4500","462.8500","461.4585","6237036","0.0000","1.0000"
"2018-05-23","454.0000","461.5000","449.4500","452.2500","450.8904","4549341","0.0000","1.0000"
"2018-05-22","444.8500","456.0000","435.0000","453.0000","451.6381","4466739","0.0000","1.0000"
"2018-05-21","464.2000","465.0000","440.3000","443.7500","442.4159","5809871","0.0000","1.0000"
"2018-05-18","488.9500","488.9500","462.8500","464.9000","463.5023","8722402","0.0000","1.0000"
"2018-05-17","473.0000","486.0000","468.3500","479.8500","478.4074","5939278","0.0000","1.0000"
"2018-05-16","466.0000","473.0000","462.5000","471.7000","470.2819","4675165","0.0000","1.0000"
"2018-05-15","474.0000","480.0000","459.0000","468.6500","467.2411","5493167","0.0000","1.0000"
"2018-05-14","473.0000","487.8000","472.0000","473.8000","472.3755","6746471","0.0000","1.0000"
"2018-05-11","494.0000","496.1500","467.7500","472.0500","470.6308","9906203","0.0000","1.0000"
"2018-05-10","508.0000","509.2500","495.3000","497.2000","495.7052","4218689","0.0000","1.0000"
"2018-05-09","511.4500","514.8000","505.2000","506.1500","504.6283","2477607","0.0000","1.0000"
"2018-05-08","514.0000","519.2500","508.6000","511.4500","509.9124","2519096","0.0000","1.0000"
"2018-05-07","518.0000","520.0000","506.5000","513.7000","512.1556","3837196","0.0000","1.0000"
"2018-05-04","530.0000","533.0000","516.4000","517.9500","516.3928","5429919","0.0000","1.0000"
"2018-05-03","517.0000","539.3000","511.6500","536.0000","534.3886","7457111","0.0000","1.0000"
"2018-05-02","530.0000","530.7500","510.4500","515.2000","513.6511","5805988","0.0000","1.0000"
"2018-04-30","528.0000","530.9500","525.1000","528.4000","526.8115","1689385","0.0000","1.0000"
"2018-04-27","517.5000","526.4000","515.2500","524.1500","522.5742","3998704","0.0000","1.0000"
"2018-04-26","514.0000","522.7000","511.3000","512.6000","511.0589","3304748","0.0000","1.0000"
"2018-04-25","514.5000","521.4500","511.2000","514.0500","512.5046","2112975","0.0000","1.0000"
"2018-04-24","515.9000","523.5000","512.5000","517.8000","516.2433","3432552","0.0000","1.0000"
"2018-04-23","505.0000","515.5000","505.0000","514.2500","512.7040","2424057","0.0000","1.0000"
"2018-04-20","509.0000","509.0000","502.0000","505.3000","503.7809","4431085","0.0000","1.0000"
"2018-04-19","515.0000","515.0000","506.3500","509.2000","507.6692","1936774","0.0000","1.0000"
