"timestamp","open","high","low","close","volume"
"2016-08-05","1998.9500","2029.0000","1930.2500","1938.4000","60529"
"2016-07-29","1952.9500","2015.0000","1920.0000","1999.0000","130681"
"2016-07-22","1945.1500","1994.9000","1929.9000","1959.1000","70344"
"2016-07-15","1915.5000","1950.0000","1903.7500","1943.4500","85326"
"2016-07-08","1905.0000","1960.0000","1905.0000","1926.1500","54658"
"2016-07-01","1825.3000","1925.0000","1811.0000","1904.7500","57953"
"2016-06-24","1851.0000","1898.0000","1822.5500","1849.1500","78750"
"2016-06-17","1844.0000","1904.0000","1827.0000","1881.6500","75913"
"2016-06-10","1889.7000","1889.7000","1834.0000","1853.1000","48313"
"2016-06-03","1859.8000","1900.0000","1850.5500","1879.5500","77807"
"2016-05-27","1769.7500","1860.0000","1747.5000","1848.5500","155099"
"2016-05-20","1798.0000","1825.0000","1750.0000","1763.6000","111778"
"2016-05-13","1800.0000","1815.0000","1753.2500","1778.5000","325452"
"2016-05-06","1745.3000","1814.8000","1725.0000","1788.8000","174157"
"2016-04-29","1768.3000","1775.3000","1711.0000","1738.5500","99975"
"2016-04-22","1737.4500","1770.0000","1722.1500","1760.3500","75580"
"2016-04-13","1711.1000","1750.0000","1705.0000","1737.4500","38491"
"2016-04-08","1775.0000","1778.0000","1690.2500","1703.4500","139339"
"2016-04-01","1724.0000","1819.9000","1687.0000","1775.1500","255303"
"2016-03-23","1640.2000","1727.0000","1610.1000","1714.3000","237428"
"2016-03-18","1890.0000","1890.0000","1617.5000","1625.1000","925512"
"2016-03-11","1943.0000","1950.0000","1877.0500","1928.1000","43013"
"2016-03-04","1805.0000","1950.0000","1755.0000","1933.8500","70168"
"2016-02-26","1976.0000","1985.0500","1789.9500","1800.7500","64058"
"2016-02-19","2025.0000","2039.0000","1932.5500","1975.8500","34487"
"2016-02-12","2222.0000","2244.8000","1962.0500","1995.2000","38610"
"2016-02-05","2220.0000","2379.8501","2195.3501","2236.4500","67269"
"2016-01-29","2250.0000","2258.7500","2176.7000","2236.2500","69629"
"2016-01-22","2254.8501","2299.3999","2132.4500","2248.9500","61492"
"2016-01-15","2365.0000","2365.0000","2240.0000","2263.0500","86633"
"2016-01-08","2383.0000","2399.8999","2287.3999","2364.3999","47313"
"2016-01-01","2364.0000","2411.2500","2325.5000","2383.6499","62117"
"2015-12-24","2410.0000","2430.0000","2361.0000","2363.7000","70482"
"2015-12-18","2386.0500","2425.0000","2359.9500","2377.2500","71044"
"2015-12-11","2539.0000","2542.6499","2361.0000","2405.2000","56227"
"2015-12-04","2505.0000","2548.0000","2426.1001","2518.7000","74646"
"2015-11-27","2407.8000","2645.0000","2399.9500","2479.7000","257782"
"2015-11-20","2460.0000","2469.0000","2370.3000","2401.7000","79466"
"2015-11-13","2470.0000","2470.0000","2412.2500","2437.8501","11536"
"2015-11-10","2450.0000","2602.0000","2401.0000","2445.7000","68085"
"2015-11-06","2550.0000","2615.0000","2451.0000","2469.6001","49370"
"2015-10-30","2540.0000","2597.0000","2471.1001","2547.1001","82258"
"2015-10-23","2460.0000","2574.0000","2431.0000","2515.4500","128708"
"2015-10-16","2472.0000","2525.0000","2362.5000","2441.0000","125616"
"2015-10-09","2475.0000","2557.3999","2433.0000","2449.4500","95615"
"2015-10-01","2575.0000","2584.7500","2372.2000","2459.1499","103404"
"2015-09-24","2566.0000","2724.8999","2530.0000","2573.2500","293778"
"2015-09-18","2335.0000","2650.0000","2260.0000","2567.5000","492184"
"2015-09-11","2330.0000","2330.0000","2170.0000","2296.7500","90370"
"2015-09-04","2262.9500","2408.0000","2262.9500","2314.1499","95313"
"2015-08-28","2225.0000","2350.0000","2080.0000","2309.2500","101325"
"2015-08-21","2295.0000","2342.3999","2210.2500","2271.2500","92933"
"2015-08-14","2397.0000","2397.0000","2210.0500","2291.5000","178478"
"2015-08-07","2180.0000","2522.0000","2170.2000","2359.8501","192875"
"2015-07-31","2153.0000","2210.0000","2082.4500","2175.8999","109298"
"2015-07-24","2100.0000","2137.9500","2081.5500","2104.7500","93397"
"2015-07-17","2049.0000","2140.0500","2042.0000","2119.1001","108975"
"2015-07-10","1980.3000","2049.6001","1953.7000","2032.2000","194690"
"2015-07-03","2009.0000","2048.0000","1972.0000","1980.3000","52175"
"2015-06-26","2023.0000","2061.0000","1981.0000","2022.2000","65156"
